Material ;rho;sigma02;sigma_v;delta;sigma_v_rho;use
Сталь 03Х11Н10М2Т-ВД (ЭП 678У-ВД);7840;1150;1300;7;16.58;Шпангоуты, днища
Сталь 03Х11Н10М2Т2-ВД (ЭП 679-ВД);7840;1600;1750;4;22.29;Обечайки
Сталь 28Х3СНМВФА-Ш (СП-28Ш);7830;1300;1600;7.5;20.8;Обечайки
Сталь 33Х3СНМВФА-Ш (СП-33Ш);7830;1400;1700;7;21.71;Обечайки
Сталь 38Х3СНМВФА-Ш (СП-38Ш);7830;1450;1800;7;23.1;Обечайки
Сталь 43Х3СНМВФА-Ш (СП-43Ш);7830;1500;1900;6;24.4;Обечайки
Сталь 30Х3ГСНМВФА-Ш (СП-30Ш);7830;1300;1600;7;20.43;Шпангоуты, фланцы
Сталь Д6АС (США);7800;2100;2100;8;27;Обечайки
Титановый сплав ВТ23;4570;1050;1050;4;22.08;Обечайки, фланцы, шпангоуты
Титановый сплав ВТ16;4570;1050;1050;12;22.98;Крепежные детали
Титановый сплав ВТ14;4570;1200;1200;5;26.6;Обечайки, фланцы, шпангоуты
Титановый сплав ОТ4;4570;700;700;10;15.5;Обечайки, шпангоуты
Титановый сплав ВТ5Л;4570;600;700;5;15.5;Крышки
Титановый сплав ВТ20Л;4570;800;900;20.13;20.13;Крышки
Титановый  сплав  Ti-6Al- 4V (США);4500;950;950;10;19;Обечайки, шпангоуты
Титановый сплав Ti-13V- 11Cr-3Al (США);4500;1400;1400;5;28;Обечайки, шпангоуты
Алюминиевый сплав АМг6М;2640;160;290;15;10.98;Обечайки, шпангоуты
Алюминиевый сплав В95;2850;420;500;5;17.54;Обечайки, шпангоуты, крышки
