Material ;rho;sigma_02;sigma_v;delta;sigma_v_rho;use
Сталь 03Х11Н10М2Т-ВД (ЭП 678У-ВД);7840;1150000000;1300000000;0.07;16580;Шпангоуты, днища
Сталь 03Х11Н10М2Т2-ВД (ЭП 679-ВД);7840;1600000000;1750000000;0.04;22290;Обечайки
Сталь 28Х3СНМВФА-Ш (СП-28Ш);7830;1300000000;1600000000;0.075;20800;Обечайки
Сталь 33Х3СНМВФА-Ш (СП-33Ш);7830;1400000000;1700000000;0.07;21710;Обечайки
Сталь 38Х3СНМВФА-Ш (СП-38Ш);7830;1450000000;1800000000;0.07;23100;Обечайки
Сталь 43Х3СНМВФА-Ш (СП-43Ш);7830;1500000000;1900000000;0.06;24400;Обечайки
Сталь 30Х3ГСНМВФА-Ш (СП-30Ш);7830;1300000000;1600000000;0.07;20430;Шпангоуты, фланцы
Сталь Д6АС (США);7800;2100000000;2100000000;0.08;27000;Обечайки
Титановый сплав ВТ23;4570;1050000000;1050000000;0.04;22080;Обечайки, фланцы, шпангоуты
Титановый сплав ВТ16;4570;1050000000;1050000000;0.12;22980;Крепежные детали
Титановый сплав ВТ14;4570;1200000000;1200000000;0.05;26600;Обечайки, фланцы, шпангоуты
Титановый сплав ОТ4;4570;700000000;700000000;0.1;15500;Обечайки, шпангоуты
Титановый сплав ВТ5Л;4570;600000000;700000000;0.05;15600;Крышки
Титановый сплав ВТ20Л;4570;800000000;900000000;0.2013;20130;Крышки
Титановый  сплав  Ti-6Al- 4V (США);4500;950000000;950000000;0.1;19000;Обечайки, шпангоуты
Титановый сплав Ti-13V- 11Cr-3Al (США);4500;1400000000;1400000000;0.05;28000;Обечайки, шпангоуты
Алюминиевый сплав АМг6М;2640;160000000;290000000;0.15;10980;Обечайки, шпангоуты
Алюминиевый сплав В95;2850;420000000;500000000;0.05;17540;Обечайки, шпангоуты, крышки
